contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity,Spot
SPXW260306C03400000,2026-01-02 17:26:45+00:00,3400.0,3461.74,3536.9,3560.9,0.0,0.0,4.0,4,2.871203383522033,True,REGULAR,USD,0.01642710472279261,6908.85986328125
SPX260320C00600000,2025-12-02 20:04:06+00:00,600.0,6220.63,6325.7,6343.8,0.0,0.0,2.0,6,5.283511696395873,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C01200000,2025-12-24 18:07:46+00:00,1200.0,5721.76,5725.4,5743.2,0.0,0.0,2.0,40,3.714112042846679,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C02200000,2026-01-06 20:14:51+00:00,2200.0,4750.19,4762.3,4770.1,0.0,0.0,2.0,8,2.867159814529419,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C02600000,2026-01-06 20:49:10+00:00,2600.0,4353.63,4332.7,4356.5,0.0,0.0,20.0,11,2.2577863379669187,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C03300000,2025-06-24 15:22:05+00:00,3300.0,2861.06,3384.3,3408.3,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPXW260320C03400000,2025-11-04 18:04:35+00:00,3400.0,3415.74,3549.6,3561.7,0.0,0.0,,1,1.7872935440063475,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C03800000,2026-01-05 19:09:10+00:00,3800.0,3128.15,3168.0,3175.7,0.0,0.0,1.0,202,1.6477983918762207,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C03900000,2025-05-14 13:35:07+00:00,3900.0,2132.98,2188.1,2207.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C03950000,2025-12-30 17:57:28+00:00,3950.0,2976.08,2995.3,3009.7,0.0,0.0,1700.0,1701,1.4350614184570314,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04125000,2025-08-28 16:18:17+00:00,4125.0,2454.13,2556.1,2567.9,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04200000,2025-11-18 15:19:50+00:00,4200.0,2453.24,2757.6,2778.0,0.0,0.0,6.0,5,1.3919555548858642,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04450000,2025-07-01 19:45:15+00:00,4450.0,1896.44,2270.2,2294.2,0.0,0.0,25.0,29,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04575000,2025-06-24 15:22:05+00:00,4575.0,1664.06,2150.1,2174.1,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04675000,2025-04-07 13:46:16+00:00,4675.0,651.65,1222.3,1228.4,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04700000,2026-01-06 18:04:54+00:00,4700.0,2262.17,2274.3,2282.1,0.0,0.0,2.0,385,1.1769602919769286,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04775000,2025-08-28 16:18:17+00:00,4775.0,1834.46,1933.5,1943.4,0.0,0.0,12.0,8,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
SPX260320C04925000,2025-04-23 16:59:27+00:00,4925.0,830.34,1138.0,1142.7,0.0,0.0,2.0,10,1.0000000000000003e-05,True,REGULAR,USD,0.05475701574264202,6908.85986328125
